Ticker,Stock_Rank,Current_Price,Call_Price,Put_Price,Strike,Expiry_T,Hist_IV_Avg,Hist_IV_Std
AAPL,1.0,270.23,4.05,3.65,270.0,0.0219,0.25,0.05
MSFT,0.98,422.79,7.35,7.38,422.5,0.0219,0.25,0.05
NVDA,0.96,201.68,4.78,2.96,200.0,0.0219,0.25,0.05
AMZN,0.94,250.56,4.78,4.22,250.0,0.0219,0.25,0.05
GOOGL,0.92,341.68,5.97,6.53,342.5,0.0219,0.25,0.05
META,0.9,688.55,13.8,12.2,687.5,0.0219,0.25,0.05
BRK-B,0.88,474.58,6.08,5.75,475.0,0.0329,0.25,0.05
TSLA,0.86,400.62,14.23,13.23,400.0,0.0219,0.25,0.05
AVGO,0.84,406.54,9.7,9.32,407.5,0.0219,0.25,0.05
LLY,0.82,927.03,39.05,37.28,927.5,0.0329,0.25,0.05
JPM,0.8,310.29,5.9,4.95,310.0,0.0329,0.25,0.05
WMT,0.78,127.5,2.71,2.06,127.0,0.0329,0.25,0.05
XOM,0.76,146.44,4.33,3.67,146.0,0.0329,0.25,0.05
V,0.74,317.02,7.53,7.5,317.5,0.0329,0.25,0.05
MA,0.72,521.3,12.7,12.8,522.5,0.0329,0.25,0.05
UNH,0.7,324.63,10.65,10.97,325.0,0.0329,0.25,0.05
COST,0.68,999.89,14.78,14.7,1000.0,0.0329,0.25,0.05
JNJ,0.66,234.18,3.52,3.95,235.0,0.0329,0.25,0.05
ORCL,0.64,175.06,7.38,7.1,175.0,0.0329,0.25,0.05
HD,0.62,349.4,7.08,7.3,350.0,0.0329,0.25,0.05
PG,0.6,146.93,2.89,3.75,147.0,0.0329,0.25,0.05
ABBV,0.58,208.38,6.78,5.43,207.5,0.0329,0.25,0.05
BAC,0.56,53.91,1.05,1.0,54.0,0.0329,0.25,0.05
NFLX,0.54,97.31,2.52,2.09,97.0,0.0329,0.25,0.05
KO,0.52,75.74,1.27,1.42,76.0,0.0329,0.25,0.05
CRM,0.5,182.14,6.12,6.28,182.5,0.0329,0.25,0.05
CVX,0.48,183.99,4.2,4.85,185.0,0.0329,0.25,0.05
MRK,0.46,119.07,3.5,3.45,119.0,0.0329,0.25,0.05
AMD,0.44,278.39,11.82,10.68,277.5,0.0329,0.25,0.05
TMO,0.42,526.6,18.95,12.85,525.0,0.0329,0.25,0.05
PEP,0.4,157.67,2.88,2.4,157.5,0.0329,0.25,0.05
ACN,0.38,197.65,6.5,6.05,197.5,0.0329,0.25,0.05
CSCO,0.36,86.25,1.94,1.57,86.0,0.0329,0.25,0.05
WFC,0.34,81.41,1.98,1.45,81.0,0.0329,0.25,0.05
MCD,0.32,311.36,4.28,4.58,312.5,0.0329,0.25,0.05
ABT,0.3,96.81,1.8,1.77,97.0,0.0329,0.25,0.05
LIN,0.28,492.23,15.2,11.25,490.0,0.0712,0.25,0.05
IBM,0.26,253.47,10.12,9.35,252.5,0.0329,0.25,0.05
GE,0.24,304.13,10.2,10.32,305.0,0.0329,0.25,0.05
DIS,0.22,106.29,2.08,1.64,106.0,0.0329,0.25,0.05
ADBE,0.2,244.45,7.98,8.12,245.0,0.0329,0.25,0.05
PM,0.18,157.79,4.85,4.6,157.5,0.0329,0.25,0.05
CAT,0.16,794.65,29.1,29.67,795.0,0.0329,0.25,0.05
TXN,0.14,229.82,9.12,9.1,230.0,0.0329,0.25,0.05
INTU,0.12,393.25,14.95,16.5,395.0,0.0329,0.25,0.05
QCOM,0.1,136.2,5.72,5.1,136.0,0.0329,0.25,0.05
AMGN,0.08,355.3,10.18,9.27,355.0,0.0329,0.25,0.05
NOW,0.06,96.66,5.9,5.95,97.0,0.0329,0.25,0.05
GS,0.04,925.95,21.77,19.98,925.0,0.0329,0.25,0.05
SPGI,0.02,442.57,12.05,13.65,445.0,0.0329,0.25,0.05
